id,title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,category,propertySize,longitude,latitude,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,AMV_price
3635398,"ASHBERRY LODGE, Ashberry Lodge, Sligo, Co. Sligo",standard,2022-02-04,325000,7,7,Detached,Buy,302.0,-8.456142,54.276994,2821,Shane Flanagan,DNG Flanagan Ford,BRANDED_AGENT,26.0,True,False,False,B3,0
3628549,"Doonally, Calry, Co. Sligo",standard,2022-01-18,380000,3,2,Semi-D,Buy,97.0,-8.439335,54.294373,1114,Patsy Smith,D.M. Auctions Ltd,UNBRANDED_AGENT,6.0,False,False,False,D1,0
3627231,"46 John Street, Sligo, Co. Sligo",standard,2022-02-04,145000,4,2,Terrace,Buy,126.0,-8.478846,54.270357,1227,Tommy Breheny,Oates Breheny Group,BRANDED_AGENT,4.0,False,False,False,F,0
3621997,"53 Thornhill, Sligo, Co. Sligo",standard,2021-12-02,265000,5,2,Semi-D,Buy,135.0,-8.492907,54.269446,2820,Bryan J. Corcoran,Bryan J. Corcoran,UNBRANDED_AGENT,20.0,False,False,False,D2,0
3611320,"Lavally, Ballymote, Co. Sligo",standard,2022-01-18,120000,2,1,Detached,Buy,80.0,-8.477232800582584,54.094068939277975,1114,Patsy Smith,D.M. Auctions Ltd,UNBRANDED_AGENT,9.0,False,False,False,SI_666,0
3610651,"8 Corradoo Cottages, Boyle, Ballinafad, Co. Sligo",standard,2022-02-07,100000,3,1,Terrace,Buy,,-8.358466,54.020108,2243,Seamus Carthy,REA Seamus Carthy,UNBRANDED_AGENT,11.0,False,False,False,C1,1
3610502,"Annagh, Riverstown, Co. Sligo",standard,2021-11-12,109000,3,1,Detached,Buy,,-8.354213,54.091219,936,Mike Smith,Smith Kelly Scott Auctioneers,BRANDED_AGENT,20.0,False,False,False,D2,0
3555668,"Drumcliffe South, Drumcliff, Co. Sligo",standard,2021-10-29,480000,4,1,Detached,Buy,151.0,-8.491613,54.321662,9463,Tom Fox,Tom Fox,UNBRANDED_AGENT,8.0,False,False,False,C3,0
3587395,"Knockrower, Bunnanadden, Co. Sligo",standard,2022-02-07,95000,3,1,Detached,Buy,,-8.589593,54.030808,5955,Brendan Kenny,Connaught Property,UNBRANDED_AGENT,21.0,False,False,False,G,0
3586837,"Bayview, Ballisodare, Co. Sligo",standard,2022-02-04,129000,3,2,Semi-D,Buy,113.0,-8.511536,54.211272,2821,Shane Flanagan,DNG Flanagan Ford,BRANDED_AGENT,16.0,True,False,False,F,0
3558231,"17 Innishfree Court, Tonaphubble, Sligo, Co. Sligo",standard,2021-12-09,235000,4,4,Terrace,Buy,101.0,-8.460313,54.258839,2820,Bryan J. Corcoran,Bryan J. Corcoran,UNBRANDED_AGENT,13.0,False,False,False,B3,0
3579521,"3 Valley of Diamonds House, Pier Road, Enniscrone, Co. Sligo",standard,2022-02-03,125000,3,2,Duplex,Buy,114.0,-9.091265,54.214035,2789,Michael Boland,DNG Michael Boland,UNBRANDED_AGENT,15.0,False,False,False,C3,1
3577507,"19 The Meadows, Enniscrone, Co. Sligo",standard,2022-02-04,250000,4,2,Semi-D,Buy,,-9.079783,54.211712,11249,Edel Rolston,Edel Rolston Property,UNBRANDED_AGENT,25.0,False,False,False,C2,0
3575885,"Dunromin, Pearse Road, Sligo, Co. Sligo",standard,2022-02-07,250000,3,1,Detached,Buy,132.0,-8.468494,54.26478,1371,David Reynolds PSPL 001017,David Reynolds Auctioneers Ltd,UNBRANDED_AGENT,14.0,False,False,False,E2,0
3477469,"Wren Lodge, Shore Road, Knocknahur, Sligo, Co. Sligo",standard,2022-02-04,725000,5,4,Detached,Buy,350.0,-8.559655,54.232219,1227,Pauric Oates,Oates Breheny Group,BRANDED_AGENT,42.0,True,False,False,B1,0
3563040,"Barnacoghil, Templeboy, Co. Sligo",standard,2022-02-04,70000,3,1,Bungalow,Buy,,-8.822654,54.236361,11249,Edel Rolston,Edel Rolston Property,UNBRANDED_AGENT,27.0,False,False,False,G,0
